elapsed_s,rss_bytes
5.581956,263540736
5.597469,263610368
5.612968,263819264
5.628482,263958528
5.643977,264077312
5.659508,264282112
5.675004,264347648
5.690505,264548352
5.706026,264613888
5.721552,264749056
5.737047,264880128
5.752549,265011200
5.768359,265150464
5.783577,265285632
5.799081,265351168
5.814580,265551872
5.830082,265682944
5.845582,265887744
5.861107,266018816
5.876618,266084352
5.892110,266289152
5.907631,266420224
5.923123,266555392
5.938620,266620928
5.954339,266821632
5.969646,266956800
5.985157,267022336
6.000672,267153408
6.016173,267362304
6.031684,267497472
6.047180,267628544
6.062691,267767808
6.078220,267964416
6.093707,268029952
6.109225,268165120
6.124719,268365824
6.140226,268431360
6.155733,268566528
6.171233,268697600
6.186747,268865536
6.202258,268967936
6.217762,269033472
6.233264,269234176
6.249288,269369344
6.264790,269508608
6.280321,269578240
6.295807,269783040
6.311194,269922304
6.326705,269991936
6.342205,270196736
6.357701,270340096
6.373406,270409728
